Log Data for Client IPAddres: 172.16.179.33 Pid: 19524
Log Data for Client IPAddres: 172.16.179.33 Pid: 19524
Model exist
Loading Q params .......
Number Push: ,50
Start Training...
iteration ,1,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,2,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,3,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,4,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,5,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,6,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,7,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,8,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,9,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,10,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,11,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,12,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,13,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,14,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,15,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,16,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,17,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,18,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,19,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,20,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,21,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,22,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,23,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,24,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,25,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,26,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,27,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,28,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,29,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,30,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,31,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,32,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,33,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,34,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,35,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,36,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,37,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,38,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,39,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,40,No of clients perticipant in the updation,3,Updated Global Model Params.
